,아이디,댓글 내용
123,  오윤희,"미국은 한국이랑 법계가 달라서 형량을 크게 내릴 수 있는 거에요. 한국은 프랑스나 독일과 같은 대륙법계 국가인데, 대륙법계 국가는 칸트 영향이 큰 편이라서 형벌을 온정적으로 내리도록 되어 있는 편입니다. 물론 법을 국회에서 바꾸면 되긴 하는데, 법계 자체를 바꾸는 건 사실상 한국 법학을 다시 다 써야 하는 거라서 바뀌진 않을거라 보시는 게 편합니다."
124,  장용재,옳은 말씀입니다. 어린 분이 정확한 판단을 하시는것같습니다.
125,  ᄋᄋ,누명씌워서 형량 100년 받으면 어떡하려구요? ㅋㅋ
126,  JM, @오윤희  한국이랑 법이 다름. 한국은 대륙법계 영미는 영미법계임. 22222 대륙법계(주로 독일법출신)는 억울한 사람이 최대한 없게+갱생이 목표임. 신중하게 판단하고 판결은 갱생할 수 있게.영미법계는 사회격리가 목표. 형량을 크게 때리지만 판결잘못하면 나라가 수백억 보상도 감수해야함.
127,  재수검투사.,어차피 돈있는애들은 어떻게든 풀려나오게되있고 당하는건 음주운전하는시민 민사소송걸린 시민들이 대부분인데 참 50년이렇게때려박히면 좋겠다 그지? 살인하면 50년 무기 받는거는 안보이나봐 ㅋㅋ 뇌물수수했다고쳐도 그걸 증거하는게 개힘들고 죄도 입증이안되는데 좀 세상을 넓게바라보길 너무 1차원적이야
128,  니국적중고나라,강마리가 옛날의 강마리가 아닌 선한 강마리가 되어서 너무 좋음 걍 심애교도 너무 좋고 나애교 진심녀 빠순이인 나는 너무 좋구 아 아무튼 강마리 사랑해 처음에 완전 비호감이었는ㄷㅔ 가면갈수록 좋아짐..ㅎㅎㅎ
129,  전수진,",!,"
130,  서혜원,강마리는 원래 선했다고 생각해요..! 그랬기때문에 쓰러진 삼마마를 도와준거고....저 펜트하우스 사람들한테 약해보이지 않을려고 그래왔던 것 같아요.....ㅠㅠㅠ저 사람들은 찐으로 부자지만 자신은 목욕탕에서 일하던 사람이니까ㅠㅠ지금이라도 다시 정신차려서 다행인.....
131,  권영주,처음에 강마리 문앞에있을때 수련이 놀란거 나만 이쁘고귀엽나? 그리고 주단태 뭐만하면 사람목좀그만졸라
132,  so so,진짜 자꾸 우리 퀸수련 목 졸라서 ㅠㅠ
133,  이민서,6:34 호텔 델루나 객실장님 교육부 차관으로 환생하셨누.........
134,  전다윤,ㅋㅋㅋㅋㅋㄱ
135,  민경,차관님 어디서 봤는데 이러고 있었음 ㅌㅌㅌㅋㅋㅋㅋㅋㅋ
136,  michaela viloria,"So the money he got from logan was used for bribing to buy the cheonsu district and he lost it and now he borrows money from the sammama? Wow, as penthouse as the collateral,, were going to see dantae go down"
137,  심수련살려,이번 영상 심수련 킬포0:01 놀라는거 졸귀7:19 대쪽 같은 차관님이 뭐라하던 픽 웃는거 13:13 골드바는 드세요
138,  🍈Olivia,나 초코바 코코바 먹는중
139,  VoO mAn,"I want a happy ending for Suryeon, Logan, Rona, Seokhoon, Seok Kyung, Jenny, Kang Mari well i think altleast Min Hyuk (since he was having a development now)... I just hope all of them will get justice and live peacefully... I want a happy ending for those who deserves it because it was too much enough..."
140,  QUEEN BIANCA,"And also eun byul, i wish someone will save her from her mother"
141,  VoO mAn," @QUEEN BIANCA  yeah, i somehow pity her well she became like that because they erase her memory again.."
142,  오오오하이,13:25 자세히보면 이름이 심수련이 아니라 나애교임...심수련이 어떻게든 로건의 나애교 살인 누명 벗기려고 룸살롱에선 나애교인척 행동하는 듯
143,  ᙏ̤̫ᅘᅘ,헐 수련 진ㅁ자 천재다....
144,  아잉눈,머리 길이 계속 길었다가 단발됐다가 하는데 진짜 둘다 살아있는거 아잉교??
145,  오오오하이, @아잉눈  가발임
146,  이동진, @아잉눈  심수련이 직접 나비 문신 등에 하는 장면 나와요…
147,  쥬쥬,와 이거 지금 봤어요..관찰력 대박!! 근데 나애교는 이미 죽었다고 뉴스에도 나오고 했는데 저렇게 계약서에 싸인과 도장까지 있어도 법적효력이 있을까요...??
148,  최슬카 Choislka, @쥬쥬  그냥 옥에티 같은 느낌도...
149,  임채소,"퀸수련, 제시카, 삼마마 이렇게 연합해서 주단태 죽이는거에 저도 동참하겠습니다..솔직히 이렇게 3명 덤비면 주단태 곧 뒤짐"
150,  커피사랑,"거기다가 로라에몽, 찐단태, 유동필, 하통수까지 뭉치면 ㄷㄷㄷ"
151,  펜트하우스에도른자,+무한의 시청자
152,  잇프삐, @커피사랑  로라에몽이 누구에여?
153,  go E, @잇프삐  로건ㄹㄹㄹ리
154,  커피사랑, @잇프삐  로건 ㄹ
155,  이규민,조비서도 껴줘요!
156,  엘사,조비서도 만약 잠재적으로 같은팀이였으면 합류...
157,  엘사,조비서도 만약 잠재적으로 같은팀이였으면 합류...
158,  앗머리가 없다, @커피사랑  아 설마 목소리 도라에몽처럼 변해서 로라에몽이라는거임?ㅋㅋㅋㅋㅋㅋ
159,  태그하지마 알림끔 펭클럽 브이로거 Silver G,로라에몽ㅋㅋㅋ
160,  아배고파,"심수련이 ""악마는 악마가 상대해야죠"" 라는 말이석훈이가 했던 말이랑 비슷한거 같음..뭔가 석훈이가 수련과 일 크게 한번 벌일 기분"
161,  미의여신유진,마리 수련 조합 기대돼..유니가 나애교처럼 살라고 하니가 바로 문신한거 너무 좋음...마리 수련 사이다가 필요해..
162,  프왈,저분 심수련은 맞은거죠? 왜 13:26 에서 나애교이름으로 서명된건지....
163,  GEN_G팬, @프왈  나애교인척 할려고 저렇게 쓴 거 같아요
164,  yuna0787,"4:41 내가 이래서 수련이를 좋아해,,,, 심수련은 항상 한 수 위를 바라봐..ㄷ"
165,  ㅎㅅㅎ,한 수 위를 바라봐가 맞는 말이에요
166,  먼지에일상, @ㅎㅅㅎ  왜그래용 ㅎㅎ
167,  잉여신, @먼지에일상  수위를 바라볼 순 없잖아용
168,  ㅎㅅㅎ,￼ 뭐가 왜 그래용ㅎㅎ 이죠… 틀린 맞춤법을 지적해 준 것뿐인데요
169,  ㅎㅅㅎ,ㅋㅋ맞아요 보자마자 놀라서 알려준 것뿐인데...
170,  yuna0787, @ㅎㅅㅎ  헐 제가 실수를했네요 몰랐어용 ㅎㅎ
171,  IlllIIllIIlIIlIlIllIIlI IllIllIIIlIlllIIlI, @잉여신  ㅋㅅㅋㄱㅋㅋ
172,  문진희,한수 위를 보는데 어디로 가는지 본인도 모르고 딱 한 두어 수  위만 본다는 거
173,  하지윤,주단태는 법이 소용없단걸 시즌3에 알다니 너무 늦었는데 와이제 알았다고라 생각함
174,  호두,"심수련 혼자 머리굴리는거 진짜 짜릿하고 너무 재밌는데 그래도 심수련 편에 서서 조력자 역할 하는 사람도 필요함. 오로지 심수련편인 로건리, 오윤희도 지금은 없고 남은 사람들 중에 강마리라 너무 좋음. 둘이 뭉칠줄은 몰랐는데 막상 뭉치니까 사이다 조합이었어ㅜㅜ"
175,  _블랙이좌_,ㅇㅈ 아니 ㅋㅈ
176,  김찬우,애초에 삼마마라는 카드를 가지고 있는 강마리를 심수련편으로 넣는게 진짜 오지는것같음
177,  Ash the Ace,Then there's me who's scrolling through the comments trying to find an English one. Please include English subtitles SBS! The penthouse drama has more than only Korean fans!
178,  Philo Mena,There is subtitles please
179,  Ash the Ace,"Originally, when the video was posted there weren't."
180,  Kathrin Kapelle,"Yes you're right! By the way, I'm from Germany 🙃"
181,  Li key,싸움은 젬병인 주단탱 수련이가 킥날릴때 속시원함
182,  밍밍,ㅇㅈㅇㅈ
183,  Jun Oh,나쁘지 않게 싸우던데...피만 보면 ptsd 와서 쓰러지는게  문제지
184,  Nurul Afiqah,She become smarter after the past incident ❤️❤️That's our Shim Soo Ryeon...
185,  ꧁ ༺ 리리 ༻ ꧂,아.. 진짜 송회장한테 천억빌리는 장면이랑 주단태가 심수련한테 까이는 장면 또 보고싶었어요..ㄱㅅㄱㅅ..
186,  손승용,그래도 교육부장관이라고 자꾸 사자성어 쓴느게 개웃기네 ㅋㅋㅋ
187,  내 밥을 왜 엎어!!,심애교 단발 너무 이쁨.. 시즌2는 좀 가발 같아서 별로였음.. 마리가 못된짓은 좀 했지만 의리는 있음..
188,  🍈Olivia,내밥을 왜 엎어!!!!!!!!!!
189,  마유리,닉값
190,  메로나,강마리가 가발 쓴 모습 처음 봤을 때의 충격... 마치 헤팰 파티 처음 봤을 때와의 충격과 같다... ㅋㅋㅋㅋㅋ
191,  황혜진,메로나님 다시 만났네요 베로나x 메로나o
192,  문방구,수련이 너무 불쌍하다ㅠㅠ설아 아빠죽고 설아죽고 로건 죽었다 살아나고 윤희는 죽었다 살아날거고그러고보니 다 주단태랑 연관되어있네?주단태 이 개자식
193,  녹시아,단태는 딱 자기 가족 죽인 진짜 단태 가족만 망하게 하고 남들 안괴롭혔으면 모두가 해피엔딩있을텐데 말이죠 ㅜㅜ
194,  문방구, @녹시아  그러니까요ㅠㅠ
195,  현서 윤,죽었다 살아날거고 ㅋㅋㅋㅋㅋㅋㅋㅋ-ㅁㅋㅋㅋㅋㄱㅋㅋㄷ-ㅋㅋㅋㅋ
196,  뽀☆,￼ 뭐.. 보나 마나 그럴 것 같지 않나요ㅋㅋㅋㅋㅋㅋㅋ
197,  녹시아, @뽀☆  설아 빼고 다 불사신인듯요 ㅋㅋㅋㅋ
198,  이승민,윤희는 시신 나와서 아예 죽은 거 아님..?
199,  황인준,그러죠 에이설마
200,  Rosegold,아닠ㅋㅋㅋㅋㅋㅋ 13:34 부터 하박사랑 규진이랑 다른사람들 다 짭단태가 말할때마다 숫자 손으로 나타내는거 ㅋㅋㅋㅋㅋㅋ백댄서냐곸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
201,  신챠밍진짜챠밍이야눙언니왜나라없어,아니 ''수련×마리''도 아니고 ''심수련×강마''는 뭐에욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
202,  공백☑️,심수련x강마리 인데용? 수정된건가
203,  De mag,처음부터 강마리 아니었음? 리를 못보신건가 아님 내가 잘못본건가ㅋㅋㅋ
204,  서연, @De mag  썸네일이요!!
205,  피오라,첨에 강마였음 ㅋㅋㅋ
