,아이디,댓글 내용
90,  츄름,나도 이 생각했는데.. 진짜 음원보다 라이브가 더 좋은 몇 안되는 그룹 ㅠㅠㅠ♥️
91,  한봄*,소향님의 '홀로아리랑'을 들어보세요 정말 기가 맥힙니다....그리고 우리 워너비형들 ㅎㅇㅌ!!!
92,  YB L,소름돋았어요
93,  허호연,이무대 아리랑 감동 ..찐.찡.한
94,  정미현,인정 인정합니다. 역대급. 판소리? 민요가수?의 목소리가 들어가서 진짜 좋았구요 유야호님의 잔망한 춤사위도 보기 좋았어요.
95,  김민정,신곡 넌좋은사람 너무좋아요 우리의노래는정말 눈물이 나네요 ㅠㅠ sg 워너비 영원하자~~♡♡ 사랑해요서쿤은 내사랑♡♡♡
96,  Mirror,용준옵 저번보다 더 늘었다해여하아 자신감 붙었다해여하나...? 왤케 더 나아진 것 같지 대박이다ㅠㅠ
97,  Wow Han,주변에서 sg워너비 지겹지도 않냐고 말할때도 그만 좀 들으라고 할때도 끊임없이 듣고 불렀습니다. 워너비 형들 다시 이렇게 행복하게 노래하는 모습 볼 수 있어서 너무 좋습니다ㅠㅠ
98,  호이야츄,29
99,  픜ᄏ프날로먹는프사기포크찡,다들그랬음 ㅋㅋ 하루종일 앨범 전곡 다 듣고 노래방가서 또듣고..1집부터 90 91 92라인은 다들 그랬음 ㅋㅋ
100,  해피바이러스,멋지십니다~!!👍👍
101,  강군,저도요 ㅠㅠㅠ
102,  Junilover,당신은 3년 후인 이제부터 그 말들을 다시 듣게 될 것입니다. 제가 요즘 그렇거든요. ㅎㅎㅎㅎㅎ
103,  픜ᄏ프날로먹는프사기포크찡, @Junilover  ?
104,  오현우, @Junilover  응 아니야
105,  하재필,그치만 우리는 또 듣죠 ㅎㅎㅎ
106,  쨤미,2002년곡도 항상 플레이리스트에잇엇던 존버 1인추가요..😭
107,  픜ᄏ프날로먹는프사기포크찡, @쨤미  02년 노래는 다 아련한듯..ㅠㅡㅠ 개초딩 시절이라 아빠 차에서 나오는곡들 듣던게 대부분인듯 10살이었던거같은데 소리바다에서 다운받아들었었나 리스트 보면 모르는곡은 없는데 어떻게 아는거지..
108,  여최선희,김진호는 셋이 모일  때 진가가 드러난다.셋의 조합이 환상이 된다.
109,  이나명,아...진짜   어떡하냐   김용준님 미춰버리겠슴돠 👍👍👍👍👍👍용준님  웃는모습  너무  좋아요남자가  웃는 모습이 넘  설렘☺☺☺☺
110,  jnr012,기사만 나오고 편집된 막둥이 김진호 바라만본다와 84라인(김용준과 이석훈) 나를 아는 사람 커버한거 좀 올려주세요 놀뭐팀에 말해서.......
111,  콩이,웬지 니노래 내노래여서 편집한 느낌을 지울수가 없네요 ㅋ
112,"  자네, 나와 함께하지 않을텐가?",🙏🏻🙏🏻🙏🏻기원합니다…………
113,  SG 워너비 저장소 ,봉춘아 봉춘언니 우째 안되것소?????? 올려주소♥♥ 아님 이 오빠들 바라만 본다 커버 찍게 해주던지..........♥♥♥
114,  돌체콜드브루,올려주세요
115,  고글자,아 진짜 보고 싶다.
116,  윤경,제발 저도🙏같이 좀 봅시다😊이대로 못 보는거 너무 아까워요🙏
117,  Pooh YJ,제발 올려주세요
118,  두마리토깽이,제발요...간절히 비나이다..꼭이요
119,  보아,최고의 조회수를 선물할테니 줴봘ㅜㅜ
120,  mysg S,"내 어린시절 감성을 오랫동안 책임지다 지는 별중 하나인줄 알았는데 구름에 잠깐 가려져있었다고 내가 찾지 않았을뿐, 그들은 여전히 그 자리에서 빛나고 있었다. 감사합니다. 형님들. 오늘도 울고 갑니다."
121,  해바라기,"아니 용준오빠 화장 어디서 한거에요 저 까만 아이섀도우 압수해야 돼 잘생긴 얼굴에 무슨 짓을,,,,"
122,  하영하용HA γOUNG,용가리 스모키 화장 금지..
123,  쩡이,김용준 시무 20조 논의 시급…
124,  사라드Salad,국회상정합시다!  스모키금지
125,  xlxl xl,아 내 감동 돌려줰ㅋㅋㅋㅋㅋㅋㅋ𝙎𝙎𝙄𝘽𝘼𝙇 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 미쳤닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
126,  돌체콜드브루,스모키 금지 찬성❤️❤️오빠 미모 가린다..
127,  lln liuu,아리랑 진짜 미쳤네 라이브가 음원보다 좋아...
