,아이디,댓글 내용
443,  bak사랑둥이,제작자 유재석님은  곧 MSG 제 2집을 꼭 준비하고 컴백 무대로 돌아오기를 바랍니다~~♡^^   원 멤버 SG 워니비무대도 종종 삽입해 주고요~~♡^^기대 하겠습니다
444,  한데꾸리,아..가슴이 울컥 해지네 제발 앞으로 활동 꾸준히 해주시고 좋은 노래 음반도 많이 내주세요ㅜㅜ
445,  bak사랑둥이,놀면 뭐하니 프로를 보면서 원 멤버 SG워너비 무대와  MSG워너비 무대가 넘 흐뭇하고  좋았다~~♡ 계속 하면 좋겠다MBC 최고이다~~☆^^
446,  서윤 이,김진호 애드립은 익숙한데도 들을때마다 소름
447,  T Z,마지막 내 사람 다같이 부를때 그 분위기 너무 좋다.... 진짜 행복해 보여요! 덕분에 저도 행복해 지네요 ^^
448,  서민지,청순하고 고귀한 sg워너비 다시 나와줘서 정말 고마워요!
449,  메타트론,진짜 너무행복하네요..중딩 때MP3 에 행님들 노래ㅜ진짜통으로 넣고따라불럿는데그때생각도 나고ㅜ먼가 울컥ㅜ
450,  김현우,중학생이었던 어린학생이 31살아재가되버렷네..ㅎㅎㅎ그때부터 mp3에넣구 맨날무한반복이었는데 그립다 그때가ㅎㅎㅎ놀뭐첨나왔을때 소름돋으면서봤어요 오래활동해줘요 형들ㅎㅎ
451,  평면,MSG워너비도 대부분 노래 잘 부르기는 하는데 진짜 SG워너비는…전설은 전설이다… 노래 자체의 격이 다른 듯 난 지금까지도 노래를 듣고 소름이 돋았던 가수는 SG워너비밖에 없음 단순히 노래를 잘해서 소름이 돋았다라기 보다는 그만큼 노래 하나하나에 진심인 게 보여
452,  우리집강아지,노래 좋은건 당연하고 부르는걸 보고 있으면 참 행복해짐 ㅠㅠ 신기하게
453,  ᄒᄒ,기다리고 있었어요~!!!! 그들만의 눈맞춤...너무 행복하고 편안해보여요🥰
454,  bk beauty-,무한반복...최고
455,  Marine J,씨부레.. 밤에 잠 못 잘 이유가 또 하나 생겼네..
456,  얼빠,죄와벌 광은 또 듣지 못했다ㅠㅠㅠㅠㅠㅠㅠㅠㅠ
457,  조재순,요즘 sg워너비  푹빠진것같네너무좋다 어쩜이리잘들할까
458,  bsy6581,명품보컬  노래듣다 국 다쫄았네 국 못먹어도  노래더 듣고싶더라   넌 좋은사람 ~~
459,  신짱구,Sg워너비 사랑~해~~♡♡
460,  김가을,김용준 미모 미쳤네ㅜㅜ
461,  손재민,ㅇㅈ👍👍
462,  Ashley Elina,저렇게 노래 부르면서 행복해 하는 그룹도 흔치 않은거 같음…보는 사람까지 행복해 지게 만드는 멋진 사람들..이번 아리랑 무대는 진짜 최고중의 최고!!! 몇번을 보는지 모르겠네요“넌 좋은 사람”너무 좋네요…음악방송 갑시다!!!
463,  다혜,17:56 제2의 겨울나무 이석훈 저 동작만 보면 웃겨 쓰러질라해
464,  MM K,Sg워너비는 남녀노소 세대불문하고 모두에게 노래로 감동을 주는 그룹이네용
465,  이경은,"그러니까요. 댓글에 오빠, 형이 반반이어서 좋아요~~ 간간이 햄도 있고요~~~^^"
466,  긍정,용준~~~~~♡♡♡♡♡♡♡♡
467,  행복가득,우리의 노래 용준님 목소리 최고~^^
468,  장은영,좋다~🙏🙏🙏최고다~🥰🥰🥰Sg워너비는 진짜 워너비다 👍👍👍
469,  머가리머가뤼,ㄹㅇ 김진호님 찐으로 행복해하는게 영상밖으로 느껴지네.... 음악과 함께 평생 행복했으면👍
470,  ᄀ케일,SG워너비 표정이 행복해 보이는 무대였어요오래오래 함께가요 응원할께요~~
471,  황갑순,노래가 듬직한 남성미가흐르는 전율 대박 나세요
472,  Le Bell Kun,"와....너무 완벽하다.,"
473,  박어깨,내사람은 들을때마다 어쩜 이렇게 여운이 진하게 남지
474,  마크툽바라기,김용준 우리아빠 닮음 ㅜㅜㅜㅜ 사랑해요
475,  정현주,놀면뭐하니 sg워너비 고정가즈아🖤
476,  Sophie,"모든 곡이 너무 다 감동적이네요.. 특히 우리의 노래는 이제서야 알게되었다는게 화날정도로 너무 좋아요.. msg워너비 멤버들에게도 엄청 와닿을것 같아요..! ""아무도 찾아주지 않던 불러주지 않던 나라는 노랠 다시 찾아내고 들어준 너에게"" 이부분 정말..  좋은노래 감사해요 sg워너비!!"
477,  강미화,.
478,  이경은,진호 작사잖아요~ 우리 진호 엄마 닮아서 글도 너무 잘 써!
479,  이_,진짜 짱 좋다고 그냥 ..... 다들 행복해하는 거 너무 좋아 ㅠㅠㅠㅠㅠㅠㅠSG워너비.. 몇주동안 또 이것만 듣겠구만...
480,  고땅근이,어떻게 사람에게서 저런 목소리가 나나요..와 진짜 너무너무 멋있고 온팔뚝살에 소름이ㅋㅋㅋ
481,  노래하는 사랑꾼,오오 많은 인연 속에 많은 사람들 중에~우리 둘 뿐이야 고마워 네가 내게 와줘서
482,  Hyon Ding,신곡 많이 들어주세요 ❤️ 너무 좋아요
483,  수아,해바라기 최애곡인데 앵콜콘에서 불러주니까 넘 좋다ㅠㅠㅠㅠㅠ🥺❤️
484,  김대현,중3때 처음 알았을때도 너무 좋았는데 이렇게 다시 방송에 나오고 노래도 역주행해서 너무 좋네요 앞으로 쭉 승승장구합시다 !!
485,  이지수,진짜 고맙습니다 다시 방송에 나와줄거라곤 상상도 못했는데ㅠㅠㅠ 행복해요
486,  Sunny 4beauty,그냥 계속계속 나와주시면 안되요? 그렇다면 전 계속계속 행복할텐데 말이죠.
487,  싱클레어,8:47 석훈좌 목소리 긁는 창법 너무 멋져요!! 나 이거 또 백만반 듣게 생겼네 ㅠㅠ
488,  GGang,진짜 김용준 미성 미친다 ㄷㄷㄷ
489,  jang go,우리의노래 김용준 미쳤네
490,  맛소금,SG워너비  목소리 나이스SG워너비  보이스 나이스SG워너비  마음씀씀이도 나이스MSG 워너비 이번 모든활동도  나이스잊지못할겁니다 영원히
491,  Maître d'hôtel,진짜 마지막 다 같이 부르는거 미쳤습니다.. 화음 및 진정성… 진짜 찢었다..
492,  박달팽,이거지 ㅠ
493,  sun day,삼햄들 노래들으니 힐링되요. 놀뭐 재방도 챙겨보고 있어요. 봐도봐도 감동이고 흐믓해요.W😊W 나이스👍신곡 '넌 좋은 사람' 노래가 이뻐요.처음으로 멜론가입해서 듣고있어요.
494,  Joonhyuk Choi,아리랑은 도쿄올림픽에서 연주되어야 한다
495,  healingk,왜  한국거를 일본에서...  가수도 노래도 지들꺼라 홍보할지도 몰라요ㅋㅋ
496,  ¿ DM,진짜 레전드다 레전드 ㅋㅋ
497,  성민,딩고 킬링보이스 나오시길 기도하고 있었는데 놀뭐에서 아예 메들리로 들려주셔서 너무 너무 정말 너무 감사합니다!!!!!! SG워너비 절대 행복해!!
498,  유순열,이런 날씨 거 타죽기 딱좋은 날씨네
499,  함시우,노래 넘 좋고 화음 환상이네요 근데 용준씨 화장 누가 함? 잘생긴 얼굴 못생기게 만드는 기술자썼음?. 용준님 스모키금지!!!!
500,  오지게박자,중학교때 진짜 많이들었는데ㅎㅎㅎ와진짜 옜날생각나게 하는 영상이네요 눈물나요 이렇게나이를먹었다는게ㅜㅜ
501,  박채영,크으 놀면뭐하니 유튜브 조회수 1위 주인공 답다 진짜 몇번을 들어도 질리질 않네
502,  윤댕,sg워너비 넌좋은사람♥삼햄들 무대에서 노래부르고 즐기는거보면 팬들도 너무 행복해요~ 완전체로 자주 활동해주세요오빠들 케미 진짜 짱이거든요♥오늘도 용가리 목소리에 치이고 갑니다 사랑한다 용가리♥
503,  DPRJIMMY Official,그시절 그때기억 고스란히 용준형님 목소리에 남아있네요. 많은 부분들이 변했지만 덕분에 다시 미소짓고 갑니다~
504,  순둥,"아리랑,우리의노래 너무 좋아요ㅠㅠ"
505,  Ellen,우리의노래 들으니까 눈물이 흐르네ㅠ 가슴찡한 뭔가가있다😭
506,  Octo 1,이 형들은 나중에 틀니말고 골프채 압수해야함 ㄹㅇ
507,  준호네집,넌좋은사람 노래 너무좋다ㅠㅠㅠㅠㅠ
508,  HYEJU혜주,"내 플리를 털어와서 ,, 내 멜론 계정을 훔친 줄 알았다."
509,  Eunsun Park,시간이 흐를 수록 노래 실력이 느는듯. 더 이상 늘어날 것도 없는 것 같은데!!!!!!!!!
510,  이경은,이건 역주행 아니고 재주행!
511,  Onder iii,노래부르는 이느낌 기대된다
512,  조귀,다들 너무 행복해보여서나까지 행복해진다
513,  콩이,이번 신곡도 그렇고 모든 노래가 좋지만 우리의 노래 이 띵곡을 알게 돼서 넘 좋네요 진호 석훈 조합 앞으로도 좋은 노래 많이 작업해주세요 탄생도 넘 취저
514,  ᄋᄋᄋ,진호 용준 석훈 조합
515,  정경희,용준 석훈 진호조합이죠~
516,  ← 귀요미,용리더 용가릿도 껴줘용^^
517,  너쿨링,아리랑 국뽕차오른다 대한민국만세
518,  동동동,아무도 찾아주지 않던 불러주지 않던나라는 노랠 다시 찾아내고 들어준 너에게마음에 참 위로가 되는 노래네요 우리의 노래🤍
519,  허서은,김용준 목소리 진짜 좋다 ㅠㅠ❤️❤️❤️
520,  라라,용준오빠 ㅜㅜㅠㅠ너무멋있어 ❤️❤️
521,  MSG,다들 엄청 신났어...특히 마지막에 내사람 엔딩에서 sg워너비 분들 엄청 신나신게 눈에 보임 😁😁😁😁
522,  꿈꾸는뇨자,정말 누구도 대체할 수 없는 그룹...sg워너비 진짜 최고입니다❤️❤️❤️👍👍👍👍👍👍
523,  아현,신곡노래 넘좋아용~~~sg워너비 무대를 너무 즐기는 장난꾸러기들같아요^^
524,  조조율ent.,와 소름돋아 최고다!!
525,  너무이뻐,노래하나하나에 가사한줄한줄 다 내머리속에  있는디 그래서 지겨울법한데도  그런게전혀없고  울컥하게만 만들어 우울증심해서 병원생활하는내가 유일하게 요즘 웃는시간이 저녁먹고 시트콤볼때아침에 유튜브로 워너비노래듣고 밥먹으면서까지 워너비노래들을땨
526,  Falke Kim,내사람마지막에 진호형한테 도장깨기 도전하는거같아 ㅋㅋㅋㅋ 아 너무 좋다 진짜
527,  김은주,우리의노래 너무 좋았어요. sg워너비 자주 소환해주세요. 최곱니다♡
528,  주미설,계속듣는데  sg워너비 노래는 질리질 않아요넌 좋은사람 행복감을 가져다주는 노래에요거기다 라이브는 진리~~
529,  여수밥바다,18살에 처음만난 sg워너비 어느덧 제나이 서른이 넘어 다시 만나게 됐네요내나이 마흔이 넘고 예순이 넘을때도 늘 오랜만에 만나는 반가운 친구들처럼 곁에 함께 했었으면 좋겠습니다.
530,  이외경,김용준다이어트비법뭐가요
531,  알수없음,최근 5년간 sg워너비 노래를 듣지 않은 날보다 한곡이라도 들은 날이 훨씬 많았다 그런데도 들을때마다 셋 아니 넷의 목소리 에드립 화음이 하나하나 새롭게 느껴진다 가끔 지겹다 느껴 신곡이나 걸그룹을 찾아도 보지만 결국 sg워너비로 돌아오게 된다
532,  방탄_보라해,"아니 나만 썸네일에 ""살 빼고 돌아온"" 이 글 때문에 진짜 살빠졌나 해서 보려고 들어왔냐고..... 나만 그런거임? 근데 들어와서 노래 들으는데 그와중에 부르는 노래들 다 좋다..."
533,  ᄏᄏ,오 신곡 조영수-안영민 조합 ㄷㄷ... 진짜 오랜만이네요
534,  mine,엠뚜루마뚜루~~MBC감사합니다~~사랑합니다🥰🙇‍♀️🙏 sg워너비🥰용준🥰
535,  Beautiful Seung Ji,우리의 노래 역시 최고야...!!!
536,  연탄,""" 운전할때 틀어두는 플레이리스트 """
537,  hw J,SG 워너비는 사랑입니다♡♡
538,  Bea TV __,보는 사람이 정말 행복해지는 무대 ❤️
539,  hithere!,Just like a New Year concert... And the ending song with railing camera shoots every singers... SO EPIC :')
540,  김지윤,16:25 ♥️
541,  곰녕,이런 찜통같은 무더위에 이렇게 노래로 행복하게 해주셔서 감사해요 ㅠㅠ 이번 신곡도 너무 좋고 앞으로 쭉쭉 더 잘나가라❤️❤️❤️❤️
542,  JJ J,아리랑 듣는데 왜 눈물이 나지.. ㅎㅎ
543,  몽몽❤,19:00 강창모 너무 신난거 아니냐곸ㅋㅋㅋㅋㅋ팔 뒤로 꺾이겠넼ㅋㅋㅋㅋㅋ
544,  안녕,죄와벌을 안불러주셔서 아쉬웠지만 너무 좋은 시간이였습니다 놀면뭐하니 너무 좋은프로그램 ㅎㅎ sg워너비 앞으로 예능 많이 나와주셨으면 좋겠고 신곡 화이팅!!
545,  별남,진짜 죄와벌은 왜 안부르는 걸까요???
546,  안녕, @별남  글쎄요 아마 동하님이 계시지않으시기 때문이 아닐까요ㅠ 죄와벌이 동하님 존재감이 큰 노래기도 하고 동하님 그립네요..
547,  별남, @안녕  음... 전 솔직하게 잘 모르겠네요 그렇게 생각하면 동하님이 참여하시고 파트가 더 많은 노래도 많을텐데 왜 유독 죄와벌만????
548,  안녕, @별남  죄와벌 라이브는 가장 최근이 한 9년전인거 같더라구요..
549,  miah,계속 듣게 되네요 우리의 노래 넘 좋네요.. 새로운 발견 에스지워너비  셋다 넘나 좋아
550,  ueen Q,댓글 999개는 못참지...용준님 보러 또 왔어요 ㅎㅎㅎㅎㅎ
551,  고미영,표현할단어가없다최고
552,  gong Bae,감사합니다 엠비씨 🙇‍♀️🙇‍♀️🙇‍♀️🙇‍♀️🙇‍♀️
553,  고이퉁쳐,우리의 노래 오늘부터 내 인생곡..
554,  다잊어야해—욥!,아리랑엔 역시 당당한 장구 애절한 해금 한스런 창이 있어야 제맛
555,  정진영,이시국에 sg워너비  덕에 진심으로 행복했습니다~^^♡♡♡김용준  미성에 빠져 코로나도 극복했습니당~^^진심으로 감사합니당
556,  곰,죄와벌은요..? 죄와벌은요..? 죄와벌은요..? 죄와벌은요..? 죄와벌은요..? 죄와벌은요..? 죄와벌은요..? 죄와벌은요..? 죄와벌은요..? 죄와벌은요..? 죄와벌은요..? 죄와벌은요..? 죄와벌은요..? 죄와벌은요..? 죄와벌은요..? 죄와벌은요..? 죄와벌은요..? 죄와벌은요..?
557,  강수지,ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋㅋ
558,  유령니스,아 진짜 이석훈...부모님 죄송해요 저 유부남 좋아합니다
559,  다이나마이트love,Sg워너비의 세사람이 즐겁게 노래하는 모습에 내가 다 행복합니다. 너무너무 ~자주 나와주세요. 신곡도 자주 내주시고요.
560,  빛나봄,sg워너비❤️ 사랑해
561,  알뜰,보고있으면 입꼬리가 저절로 올라가요 좋아요 행복해요 고마워요 사랑해요 모두모두~~~♡♡♡
562,  호냥이,진짜 옛날 sg도 지금 sg도 너무좋다ㅠㅠ어렸을때는 진호좌만 좋아했는데 이제 그냥 다좋네ㅠㅠ
563,  Kay Lee,sg 워너비 그냥 노래로는 국대급이네!!!
564,  J JUN,김용준 목소리 너무 좋아요~~~~
565,  노은숙,각자 넘 잘부르는데 안튀고 감싸주며 부르는 듯해서 더 좋다! ♥
566,  이석영,치킨 뜯으면서 이걸 듣는 내가 승리자
567,  개빡치네,"TV만 틀면 트로트 쳐 나와서 개빡쳤는데SG워너비, 빅마마, MSG워너비, 브아솔 덕분에 귀가 정화되고 있어요. 감사합니다 덜빡치네요 :)"
568,  tereu,우리의 노래 진짜 좋아하는데 이렇게 부르는걸 볼 수 있을지 몰랐어요ㅠㅠㅠ 제목 듣자마자 입틀막함.. 신곡도 너무너무 좋아요!! 계속계속 노래해줘요
569,  꿀꿈곰돌이,이젠 내사람 들을 때 유야호~~없으면 너무 아쉬움ㅋㅋ
570,  정윤경,너라서 고마워~선물같은 사람~SG워너비~~~♡♡♡
571,  박성우,먼저 떠난 그 친구도 좋고 지금의 세명도 좋고 최고의 그룹인거 같다..너무 좋다ㅜㅜㅜㅜ근데..정말정말 진호는 노래를 즐기고 좋아하는게 느껴짐
572,  앗르악느,4:53 용준 나나나나나나~~ 부분 이 곡 최애파트
573,  jessica choi,3인 삼색 최고다 정말..
574,  23 45,84년생 38아재입니다죄와벌 뮤비도제 고등학교에서 찍고..20대를 sg 워너비 노래와 함께 보냈어요스테이 참...좋아했어요
575,  Jinee JJu,그냥 좋다ㅏㅏ 아리랑부터 좋다ㅏ 에스지워너비는 그냥 그 존재로 끝이지ㅠㅜㅠㅠㅠ
576,  hj,sg워너비 보고있으니 너무 행복해 보여서  저까지 행복해 지네요방송에 많이 나와주세요제발요~~
577,  이아윤,볼때 마다 전율이 느껴지네ㅠㅠ가슴으로 영혼으로 노래하는게 셋 다 느껴져서더 좋으댜!!!!!
578,  Minjeong Kim,진호님 계속해서 소통하면서 찐으로 즐거워하는거 너무좋고석훈님도 그냥 인간카푸치노고 용준님은 나랑 결혼하ㄱ..아니 음색이 오지시네
579,  읏챠,용준~
580,  바코드,진짜 보자마자 확실히 달라진걸 느꼈네 ㅋㅋㅋㅋㅋ 저번 방송보다 훨씬 멋있어졌어
581,  구루,해바라기때의 아이엠그라운드에는 엄청난 전설이 숨겨져있지
582,  유영주,보는내내  행복해서 미소가절로 지어지더군요 ♥
583,  노주환,아이돌은 이제 그만 양산하자.
584,  Hyejin Kim,노래듣고 이렇게 행복할 수 있는거였어 ㅠㅠㅠㅠㅠ 진짜 만수무강하시고 오래오래 노래불러주세요ㅠㅠㅠㅠ
585,  지연수83,그냥 좋다.기분이 좋아진다! 감사하다~~~
586,  남이상해씨,우리의노래 노래좋네요 울컥하네요 진짜 영상올려주셔서 감사합니다. Sg 워너비 msg워너비 흥하시길바랍니다.
587,  Tina Jung,우리의노래 넘 좋다~역주행가자~~~
588,  cmk,"매일 반복중인 워너비~♥  보고싶어요. 콘서트 날을 간절히 바랍니다. 김용준의 아름다운미성, 이석훈의 감미로운보이스, 김진호의 파워보이스에 치입니다."
589,  초지일관,슥너비가 부르는 바라만본다랑 나를아는사람도 올려 주세요 언제 풀면 좋을까 재지 말고 그냥 지금 풀어 주세요~ 오조오억만번 돌려 볼께요 ^^
590,  오징어문어용용,라이브가 이렇게 좋아도 되나요. 용준진호석훈 명품보이스!!잘생긴 용준의 미성 미치겠네요♥️♥️
591,  이진규,아 시원하다~~~ ㅋㅋㅋ
592,  라라라정현,용리다 하는건  다다좋다💕  노래도 운동도 유튜브도 아빠옷도 짙은화장은빼고~
593,  정수진,ㅋㅋ^^
594,  옥돌,눈화장  왜 그래났엉.언니야 이쁘게 해쥬라
595,  정미현,아빠옷.? ㅋㅋㅋㅋ
596,  김용준 완벽해♡,으엉 너무조아ㅜㅜ♡
597,  마이럽,"와...무엇보다 아리랑.... 무대도 멋있고 너무 좋네요.. 뭐라 다 말로 표현할 수 없는 감동, 울림이 있네요..특히 가사가 이렇게나 슬픈 이야기였나요.. 진심이 느껴져 더 좋네요~ 감사합니다~~^^ 오래오래 노래해 주세요~~♡♡♡♡"
598,  an happy,아…유재석 저 뿌듯해 하는 표정.. 너무 행복허다 😍😍😍
599,  Leony Novita,woah nostalgia <3
600,  Sophie,"아리랑 무대가 너무 아름답네요.. 우리 고유의 것들이 역시 최고에요!! 잊고 있던 우리문화를 다시 상기시켜준 sg워너비, 놀면뭐하니 제작진분들 다 감사합니다ㅠㅠㅠ"
601,  메리쥴리merryJulie,오랜만에 SG워너비 노래 이렇게 들으니까 너무 좋아요ㅠㅠ
602,  땡초시락국수,김진호 진짜 너무 멋있는 가수가 됐다 ㅠ
603,  셀린 엘레노아,용준님 미성 곱다
604,  레모나,용준오빠눈에 화장한거죠....?? 왜 저렇게 칠한거지...??????
605,  ro se,너무 완벽하면 재미없어서 그런걸까요?ㅋㅋㅋ메컵실장님 취향이 영..ㅋㅋㅋ눈도 눈이지만 원래 눈썹 미남인데... 눈썹을 넘 칼같이 그렸어요..ㅠㅠㅠ그래도 목소리로 다 커버쳤음ㅋㅋㅋ 결론은 용가리는 죄가 없다..ㅋㅋㅋ 용가리는 다 용서된다..ㅋㅋㅋ
606,  뚜밈,첨에 다크서클인줄 알앗음 ㅋㅋ
607,  영미 박,용준님만  메이크업이 영 아쉽네요ㅠㅠ
608,  mj lee,진짜 가수들이 즐기는 무대.넘 좋아요.SG 워너비 쭉 나와 주세용~~~
609,  어르신이닷,넌 좋은 사람 짱듣기 좋아요 좋은 노래 만들어 주세요
610,  수빈이,SG워너비가 내 추억속에 간직되어 있어서 너무 행복하네요ㅎㅎ 눈물ㅠㅠㅠㅠ 영원히 SG워너비 해주세유ㅠ
611,  장선영,하 진짜 존나좋다...
612,  유현진,잔잔한 감동과 울림 좋으네요~~왜 신곡만 나오는 음악방송만 있나요?예전곡 이렇게 신청곡으로 해서 라이브 들을 수 있는 음악방송 있었음 감사하겠습니다.만들어주셔요~~^^
613,  김선유,뭔가 가사가 옛날 노래들 싹다 쓸어담는 거 같아서 너무 좋다 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 마음 편히 이제 쉴 수 있는 거 너무 내사람 재질 ㅜㅜㅜ
614,  감자감자뿅,W😚W 모음집이다  복습할게 많아서 행복합니다 SG워너비 나이스 👍👍👍👍
615,  SG 워너비 저장소 ,W.o.w
616,  자이언트펭펭펭,용준님 스모키... 너무 강렬해ㅠㅡㅠㅋㅋㅋ
617,  브이김,진짜 너무 너무 행복한 시간 선물해 주셔서 감사합니다!!
618,  각설탕은영,최고~~요즘 sg 워너비 영상보고 음악 듣고 하루에도 어찌나 많이 듣는지  그대들이 좋은 사람ㆍ 소중한 사람들 김진호님 이석훈 님 김용준님 제발 건강하시고 아프지 마시고 활동 왕성하게 롱런하실거에요 국보급 가왕인 sg워너비 그대들을 팬으로 사랑합니다ㆍ감사합니다
619,  유희경,이들은 최고네요
620,  SH K,제발 SG워너비 멤버들의 MSG워너비 노래 커버영상 공개해주세요 기사도 나왔는데 .... 왜 공개를 안하는건가요?? 본방에서 편집된건 그렇다 해도 ㅠㅠ
621,  맹지누이,아니 이러면 sg워너비 뽕들어서 어캐.....ㅠㅠㅠㅠ 노래방도 못간단 말이야~~~~~~ㅠㅠㅠㅠㅠ
622,  ueen Q,"선물같은 노래 불러주셔서 감사합니다.  진호,용준,석훈 다 좋은 사람들"
623,  e깝규,"중학생때 우연히 죄와벌을 듣게 되었고 그때부터 죄와벌 살다가 광 내사람 아리랑 가시리 해바라기 스테이 등등 수많은 명곡들을 수백 수천번을 들었고, 지금 그 때와 같은 노래를 듣는데 왜 눈물이 나는걸까요.."
624,  ᄋᄋ,와 김용준 존나 잘생깄네
625,  VINGLE,내사람 다같이 부를때 화면에 잡히는 사람 목소리 조금 더 선명하게 들려주는 섬세한 센스도 진짜좋음
626,  Good Good,진호님 방송에서 많이 보고싶어여~~~ 라디오 진행도 맡으면 좋겠네요~~~
627,  루나12,sg워너비땜시 3개월전후의 일상이  완전 바뀌었어요~~새벽 댓바람부터  너튜브로 출근함서쿤씨 책임지세요(❁´▽`❁)(❁´▽`❁)
628,  김진현,오빠들도 좋은 사람들..💕💕💕
629,  박미나,나이는 또 나만 드나봐..중딩때 mp3에 담아서 듣던 시절이 있는데ㅠㅠ이 오빠들은 나이를 안드셔😂근데 진짜 노래부르시는데 다들 너무 행복해 보이셔서 좋다😊
630,  heen kyne,놀면뭐하니 고마워요. 칭찬해요. 엠뚜루마뚜루 워너비 영상 많이 올려주세요^^
631,  이예린,놀면 뭐하니는 나이 성별 불문하고 모두에게 행복과 즐거움을 주고 갖게하는 좋은 프로그램인것 같다
632,  Pure Angel,무도가 가고 허전했는데 놀뭐가 찾아와서 행복해요!
633,  이진규,아 진짜 엔딩장면 얼마만에 보는 멋진장면이냐 진짜내가 다 뭉클해지네
634,  lil_lin,엄마 내가 다시 한번 말할게…나 유부남 좋아해
635,  Rachel Kim,석훈쌤 생머리 오대오 너무 청순해…용햄 살빠지나까 더 잘 생겼고 여기서 킬포는 오늘도 블랙 입은 블랙러버 진햄+ 12:30 막내 애드립에 터져버린 쿤쌤
636,  SG 워너비 저장소 ,어!!!!! 대박 영상 올라왓다😎😎😎😎😎😎😎😎😎😎😎
637,  whdsk aldwls,박재정 이석훈 되겦좋아하네ㅋㅋㅋㅋㅋ 이석훈 파트마다 감탄함ㅋㅋㅋ
638,  김예진,미쳐따....듣고있는내내 행복하네요
639,  alley Wall,진짜 sg워너비와 10대 20대를 같이할수 있어서 너무 감사하다
640,  하미란,댓글 생애최초로 다는데정말 최고의 무대네요감사합니다 코로나시대에비대면콘서트 계속보겠어요
641,  onos2,살 빼고 돌아온 레전드ㅋㅋㅋ 레전드 무대 볼 수 있도록 해주셔서 너~~~~~무 감사해요♡♡♡
642,  강대원,노래 부르는면서 행복해하는게 눈에 보이네 좋아보인다
643,  터 윈,노래할때 젤 행복해보여 김진호 존멋💜
644,  Jin J,노래의 감정이 그대로 전달 되서 가사도 너무 잘들리고.. 저도 모르게 눈물 났네요..ㅠㅠ 노래를 부르는게 즐거워보이고 이렇게 행복해 보이는 가수는 두번은 없을 것 같아요ㅠㅠ😭 다시 같이 노래하시는걸 봐서 그저 좋네요..♥️
645,  뚜까등짝,sg워너비 신곡- 넌 좋은 사람도 많이 사랑해주세요. https://www.youtube.com/watch?v=LcAbI7-6T6E
646,  Jeongheeyoon,노래를 끝까지 들어본건 sg워너비가 처음..
647,  김민지,올해 최고의 나나나는 sg워너비가 다 불렀다 4:44 20:35
648,  억지추억.,"아 앞으로 2021번만 더 봐야지,,,"
649,  고범서,좋은노래 항상 고맙습니다
650,  영심이,최고의sg워너비♡지노용준 석훈잘어우러지는세사람사랑입니다~♡
651,  이꾸,sg워너비 노래를 들으면 뭔가 쏴악하는 느낌이 오름
652,  Clara Jung,모르겠다 미쳤다 그냥 미쳤음
653,  아기엄마,여러분 넌 좋은 사람 스밍 같이 돌려요~~ 신곡 음원 성적이 좋아야 Sg워너비 활동에 도움이 되잖아요~~~
654,  유순열,맞아요 요즘 아이이돌노래 말고 SG워너비 노래 최고로 좋아요 들을만한 노래가 없어요 SG워너비 노래가 최고예요
655,  이한설이,4월 놀뭐 3개월째 반복하고 있었는데 이렇게 새로 들을 거리 줘서 고마워요 햄들♡ SG워너비 노래 듣는 게 일상이고 힐링이에요 앞으로 좋은 노래 더 많이 들려주세요 그리고 삼햄 웃는 거 너무 이뻐요❤
656,  김수지,"진짜 감동이다 ,,,, 유재석이 얼마나 대단한 사람인지 다시 한번 느끼게 되는 저런 가수들이랑 배우가 어떻게 한자리에 모여서 노래를 불러 유재석 아니면 절대 불가능이지 라붐 상상더하기 역주행도 그렇고 진짜 너무 좋은 곡들 다 역주행 해서 보다가 눈물남 감동이야 ,,,"
657,  이채은,이 무더운 여름에 이게모야 에어컨이 따로 없네 기분도 노래도 몸도 마음도 다 시원해지는 건 sg워너비 때문이겠지?진짜 너무 좋다💙
658,  SK,2시간 연속재생 이런거 해주세요20분은 너무 금방가요 ㅠㅠ
659,  긍정의힘,워너비~~영원하시길♡진정한 가수~~♡
660,  Shyla Heo,영상만 봐도이렇게 좋은데 바로 옆에서 들으면 어떤 기분일까..
661,  JH,역시 예전 노래가 좋아~중3인 딸도 요즘 아이돌 노래 들을거 없다고 예전2~ 3세대 아이돌 노래가 더좋다고 자주 들어요~
662,  zin na,진짜 해바라기 너무 좋다
663,  백호 BH,지금 본건데 뒤에 분들 너무 부러웡 나도 저기 뒤에서 노래하고싶다..
664,  ᆞ지선,도대체 아이엠그라운드는 왜하는거얔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
665,  ice3333,요즘  침체된 내 생활에 활력소 SG워너비 영원하라~~!!!
666,  누텔라,바라만본다도 풀어주실거죠? 믿습니다
667,  이효진,찐한감동에 눈물이 주르륵 주르륵~~~
668,  현이,오빠들 바라만본다랑 나를 아는 사람 제발 풀어주세요🙏🙏🙏
669,  신현주,아리랑 부를때 유재석 리액션 나만 귀엽냐 ㅋㅋㅋㅋㅋㅋㅋ
670,  이무짱,내가 이영상 조회수 10만 올릴예정😎😎😎
671,  김진호,마지막 무대 진짜 감동이네
672,  수수,노래 진짜 좋다😁
