,아이디,댓글 내용
116,  이수진, @네 진은 잘생겼습니다  아 그러니까 10년묵은 체중이 드립이라는거죠?
117,  네 진은 잘생겼습니다, @이수진  넹
118,  로장,아이고... 대댓 참사
119,  Hakuna Matata,6:43 천서진 팔 꺽는거 ㄹㅇ 쾌감 쩔어
120,  강동김돈돈,클라크 리를 속이는 천서진을 속이는 하은별을 복수하는 로나를 연기하는 성악가님 대단합니다!
121,  롬쌔,로나가 흑화를 이제야 했다는게 제일 놀라움... 로나 너무 착한거아니냐
122,  두둥실애정＼(^o^)／,ㅎr.. 얼마나 로나한테 그랬으면 로나가 이렇게까지 하겠냐고요ㅠ
123,  이성서,단태형 참교육 할 때는 속시원한데 또 죽으면 시원섭섭하면서 아쉬울듯
124,  배배롬,그니까 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
125,  이준혁,그래도 즐거웠다 주단태 어디까지나 시청자 입장이지만
126,  김지아,원래 그게 악당의 묘미 아닙니까ㅋㅋ
127,  배배롬, @김지아  그렇죠ㅋ
128,  캐니캐니,다른 드라마에서 이지아 김현수 모녀 관계로 나와도 괜찮을 듯
129,  그분을위해!,ㅇㅈ
130,  오마이네버버♥,제발 그랬으면..!
131,  은결🌸,진짜 너무 ㅇㅈ 내가 좋아하는 사람들끼리 만난다니 ㅜㅜ 거기다 로건리가 이지아의 남편이자 배로나의 아빠인거야…. 최고다🥰
132,  음, @은결🌸  로건리가 왜 거기서나옴~그말 할꺼면 딴댓으로 가세요~
133,  은결🌸, @음  그냥 제 생각은 말한건데 왜 님이 그럼 ㅋㅋㅋㅋ
134,  음, @은결🌸  이 댓글분이 이지아 김현수만 말했지 ㅋㅋ 이분이 로건리를 말했음?ㅋㅋ 생각을 말하려면 너 혼자그러던가 아 ㅋㅋ
135,  은결🌸, @음  ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아니 그냥 내 생각을 자유롭게 남이 보든 말든 쓰겠다는데 니가 뭔상관인데 ㅋㅋㅋ 괜히 나대는 스타일 ㅉㅉ 으휴… 남한테 시비걸 시간에 니 면상이나 잘 챙기세요~~
136,  •_*\, @은결🌸  ㄹㅇ 저분 왜저럼 그렇게 생각하실수있는데
137,  음, @은결🌸  ㅋㅋ 갑자기 로건리 말하면 대화에 흐름이 안맞잖아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 웃기네
138,  은결🌸, @음  대화의 흐름이 맞든지 안맞든지 뭔상관인데요 님이 ㅋㅋㅋ 다른 사람들은 별로 안그럴수 있는데 왜 님이 참견하셈 ㅋㅋ 왜 멀쩡한 사람한테 시비를 걸어서 짜증나게 만들어요 ㅜㅜ~
139,  남자탁용삼,주단태 강요한판사 재판에서 만나면 금고징역형 몇년 살까🤔😠😡?!
140,  집토끼,태형 10000대용
141,  __,그냥 심수련의 친딸 배로나로 해도 나쁘지 않을 듯 근데 이미 친부모가 있다는 점
142,  하늘,근대 뒤졌다는점
143,  아조나S, @하늘  아직 하윤철 살아있는데요
144,  하늘, @아조나S  하윤철 로나아빠아닌대욥오윤히가 주것다구욧
145,  햄찌크나, @하늘  로나 친아빠가 하윤철이고 로나 친엄마가 오윤희인데요 ;;
146,  주은, @하늘  하윤철 로나 친아빠 맞아요 ㅋㅋ
147,  도을, @하늘  엥 하윤철 로나아빠 맞아요!
148,  하늘, @도을  ???!!!친아빠라고??근대 3말고2에서 로나 친아빠술먹고 난간에서 떨어져죽었다는대요?
149,  승현, @하늘  친 아빠는 아닙니다
150,  이수진, @하늘  시즌2에서 윤철이가 감옥있을때 윤희가 이혼서류들고오는 씬에서 윤희가 윤철이 딸이라고 직접 말해요
151,  이윤주, @하늘   그 사람은 그냥 하윤철이랑 헤어지고 만나서 결혼한거고 친아빠는 아니에요 근데 로나는 아직 그 사람이 친아빠라고 알고있음
152,  he O,"똥머리 로나,, 반깐 수련,,, 이번주 방송분 그냥 미모대전쟁이었음 새로운 머리스타일 볼때마다 짜릿해 사이다는 더더 짜릿해"
153,  明暗,은별이가 이렇게 이뻤다니... 앞머리 없앤 것이 신의 한수구나;;;
154,  김도현,"그러게요!!! 저도 보면서 , 은별이 온니 너~무 이뿌당! 이라고, 생각했어요!!!"
155,  뉸뉸,은별 역 맡으신 배우님 진짜 귀엽게 생기심... 로나 성악하는 거 훔쳐볼 때 진짜 표정 개 졸귀탱....
156,  연유라떼,천서진은 성악 나올 때 자기 딸 목소리가 아닌걸 알아서 놀란건지 자기 딸 실력에 비해 너무 잘 불러서 눈치 챈건지 궁금하네
157,  잔 속에 든 알파카,로나 목소리라서 놀랜 것 같아요 놀란거 보면 천서진 로나 실력 인정한듯요
158,  응가,놀랜게 아니라 원래 은별이가 노래 부르기로 했어가지고 주목 받아서 좋다는 듯이 웃었는데 그 뒤에 노래부른게 배로나여서 놀란듯
159,  조승호,둘이 이미 모녀같은 케미가 여러번이라같이 흑화하면 뭐 말이 필요없을 듯
160,  킼,ㄹㅇㅋㅋ
161,  권기,주단체 어머니랑 가족 덜아가신거 나만 탄태씨 불깡한건가...
162,  ㅎㅎ,"지금까지 퀸수련이 당한 주단태한테 목 6번 졸림, 뺨도 맞고.. 건강 유의해서 찍어주세요ㅠㅠ 저번엔 찍다가 잠깐 기절하셨다고 들었는데 맴찢.."
163,  주단태는 억울해,메이킹필름 보면 이번엔 실제로 때리진 않았어요 (다른 회는 잘 모르겠지만 ㅎ;;)
164,  다 꺼저 entp 몰라?, @주단태는 억울해  아니...당연한 거 아니에여?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 왤케 주단탴ㅋㅋㅋ 의심해욬ㅋㅋㅋ
165,  김제니,솔직히 오히려 주석경보다 배로나가 더 심수련딸같다
166,  모리가스,알고보니 주석경이랑 배로나도 뒤바뀐거림
167,  뭐임마,ㅇㅈ 민설아랑 배로나 닮은 점 많은데 차라리 둘이 자매라고 하는게 믿길 지경ㅋㅋㅋㅋㅋㅋ
168,  WJDP,사실 오윤희랑 심수련이 자매였던거임~
169,  김제니, @WJDP  요새 오윤희 주단태 동생설도 있다던데
170,  구글리아, @김제니  집철거될때 짭단태가 윤희야 라고한거같아서 그런거아닐까요
171,  어묵을먹고싶은김두한, @구글리아  백준희아닌가
172,  크림, @김제니  진짜면 ㄹㅈㄷ다...ㅎㄷㄷ
173,  :7,6:41 와 에어컨도 안틀었는데 시원해
174,  엔트트레이시,나만 이해 안된거?
175,  신코이나, @엔트트레이시  사이다라는 말 아닐까요?(저도 몰라요….🥺)
176,  배스킨라빈스31,주단탱 아직 한참 덜 맞은거 알지? 뼈다귀 아작길만 걷자!
177,  땅콩~♡,준기야 엄마가 돈 많이 벌라고했지 언제 사람죽이고 남 신분 뺏어서 또 사람 죽이고 죄 지으면서 살라고했니..
178,  내가무슨부기온앤온을 누리겠다고,은별이는 국내 콩쿨만 석권했지만 로나는 국제 콩쿨에서 1등 했는걸
179,  우승희,헐 그거 혹시 몇화에서 나오나요??
180,  민초is뭔들., @우승희  나오는게 아니라 로나 수상 경력이에요!
181,  민초is뭔들., @우승희  울 로나 대단하죠 ㅋㅋㅋ
182,  우승희, @민초is뭔들.  헉 진짜 미쳤네요 ㅠㅠㅠㅠ 사이다 더나오길 기다리고이씀니당..ㅠㅠ
183,  아하, @우승희  로나가 청아예고 재입학요청하려고 올때 엘리자베스1등상장 들고와요
184,  전 이만갑오개혁,진짜 시즌1부터 개빡쳤음 ㅠㅠㅠ 메로나 성악 탑 먹어라 제발 ㅈㅂ 실력도 뛰어난 애가 어른들의 저런 욕심 때문에 꿈이 짓밟히는거 너무 ㅈ같음 현실에도 이런 일이 있다는 게 더 ㅈ같음
185,  김수진,천서진ㅋ하은별인줄 알다가아니니까 표정돌변 실화?
186,  Jong Wan Choi,뀨
187,  ᄉᄋ,뀨
188,  후우꾸꾸우후후우꾸,뀨
189,  로즈찡జ,뀨
190,  샌주TV,쀼
191,  삐죽,흐름 끊기⭐
192,  김부미,3:13--3:36
193,  키초코 쿠,로나 명언 안잊어버리려고 우리엄마가무슨일을당했는지
194,  홍련,그래 로나야 여태 당한것들 다시 되갚아주자
195,  니라자고 가내,로나 똥머리한거 존예다 진짜ㅜㅜ
196,  *세이쓰,나 진짜 궁금한데 0:56 제니랑 민혁이 사귀는거 맞지……. 아니 둘이 같이 앉고 애기 하고… 썸인가.?
