,아이디,댓글 내용
539,  크림,시간 조옷나 질질끌어서 시즌3까지왔는데 늘어트리다보니 완성도는 시즌1만했을때보다 쓰레기드라마됐네
540,  장준영,날강도 ㅋㅋ
541,  yunnji,진짜 막장이다
542,  Jimin fan account,심수련 그와중에 운전은 드릅게 잘함
543,  빛자룽,유니와 둘리도..
544,  광펜롯데,단탱이형 ㅠㅠ
545,  토끼챱,5:53 ❤️❤️
546,  꽃을든 남자,저거 유리병들 아무리 설탕이라지만..조심조심 해서 촬영했으면 8ㅁ8...
547,  yujuk,ㅋㅋㅋㅋㅋ재니 오프닝근처에  화병 난나다 ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ 아제니  내맘쏙에저장
548,  Guhyeon In,크~역시 펜하키즈중에 지희배우님이랑 현수배우님이 연기가 겁나 안정적이다👍🏻👍🏻👍🏻아역시절부터 연기해서그른가 :)
549,  이수인,이상하게 주단태 웃는거 좋음.....
550,  이상한 엘프,(진짜 궁금한건데 욕하진 말아주세요…)아무리 주단태가 사람을 많이 죽였어도 사람죽이면 다 같은 살인마 아니에요??(물론 주단채가 잘했다는건 아님)
551,  방윤미,주탄태 불싸유ㅠ
552,  체리밤,갑자기 주단태가 불쌍해지는1인이요~~
553,  옹엥,"4:47 뒤에 기자들""입시 살인마 딸 아니야?""니네들이 뭘 알아"
554,  유니,날씨는 더워죽겟는데 이거보니까 겁나 속시원하네~~
555,  토끼가되고싶은스웩하아아늘♡♡,단태과거너무슬프다ㅠㅠ
556,  로라채널,휴..주단태가 불상해보이는건 처음이야..ㅜ
557,  Annalissa Subrino,Lee ji ah😍
558,  김다은,로나 똥머리 개이쁘다
559,  김복순,나이말해요
560,  승준 하,준기의 자동차 피하기~
561,  장서아,와 진짜 주단테 엄마랑 동생 죽을때 눈물 날뻔..
562,  INFP🍈,썸네일에 극 키읔인줄ㅋㅋㅋㅋㅋ
563,  아이즈 현서:D,42초전!!씻고왔셔영
564,  Anggi Permatasari,"Oh My God 😭😭😭... Please protect Shim Su Ryeon, Logan Lee, Seok Kyung, Seok Hoon, Hye-in, Bae Ro Na, Kang Ma-Ri, & Yoo Jenny 😭😭😭😭🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🌹🌹🌹🌹🌹🌹💕💕💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜✨✨...Please God 😭😭😭😭🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🌹🌹🌹🌹🌹💕💕💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛✨✨✨"
565,  보리 닷컴 com,11:52  손예진 닮음
566,  백호 BH,배로나를 보는 나는 메로나가 된다 너무 예뻐서 녹아내린다..
567,  이이,시원하다~
568,  유고,부부싸움ㄹㅈㄷ
569,  송정아,"수련언니 잘한다 그 남자 이름은모르지만 로건,윤희죽인거 자수해!"
570,  김민니차욘따라락,주단태를 모르나요
571,  풀잎, @김민니차욘따라락  그러게윸ㅋㅋㅋ
572,  송정아, @김민니차욘따라락  주단태아는데 아 아닌줄;ㅋㅋ
573,  개초보 초롱 언냐,10:28 하아?
574,  콩돌이는11살!,펜하 보는데 김소연 광고 겁나많나왘ㅋㅋㅋ
575,  조조,처음에 펜트하우스 아래 배로나 라고 써져있는거 메로나 라고 써져있는줄...ㅋㅋ
576,  혜링,근데 민혁쒸는 어후 그와중에 제니는 민혁쒸 용서해줬넹><ㅋㅋㅋㅋㅋ
577,  남자탁용삼,심수련이 주단태 니킥을 날렸네 속이 시원하다 👍😠😠😡
578,  Siti Dwi Novianti,😘
579,  johnny,근데 재개발 사업시행인가나고 관리처분하면 저렇게 사람있는데도 무작정 집을 때려부수나요?? 물론 저런경우는 거의없겠지만 저런적이 있을가싶어 겁나네요;
580,  아아아아,백과장이다ㅋㅋ
581,  이정빈,지아눈나!!!!!!! 로나야!!!!!!!
582,  OI I,로나 엄지척하는 거 무슨의미인지 궁금하다
583,  성이름,그냥 음 높일때 쓰는 제스처이지 않을까요?
584,  OI I, @성이름  아 그런건가요?? 성악을 몰라서 궁금했네요 ㅎㅎ
585,  혜닐리아,당탱ㅋㅋ빨리 가라 쫌
586,  ☕ 한잔 할래요,예전에는 주단태가 무섭고 싫었는데 이번화 보고 불쌍해짐..
587,  이정아,근데 주단태와 오윤희가 찐동생이면 석로커플은 어케되는거 ㅠ
588,  무야호,펜트하우스 정리심수련:살충제주단태:바퀴벌레배로나:살충제 조금 남음오윤희:거미 살충제천서진:거미하은별:아기거미송희수(송회장):엄청 쌘 사람강마리:보통 쌘 사람로건리:벌레 잘 죽이는 사람주단태 동생:아기 바퀴벌레
589,  성이름짠,근데 친일파 후손이라는 배우가 저런역할하니 묘하긴 하다
590,  Anep Casas,😊👏👏👏👏😊😊😊
591,  김서아,와 똥머리 개예뻐ㅜㅜ  리즈리즐지ㅡ
592,  이정,펜트하우스 이번주 방송해요.?
593,  나오미Naomi,주단태 여동생이 있었네?? 설마... 아니겠지...ㄷㄷ
594,  Hae Jun Lee,로건리 부모님하고 조부모님나와서 그 손 뿐질라버리기 전에 좋아하시는 분!!
595,  사람그냥,주단테 가족 죽는거 왜 이렇게 웃기냐
596,  순조 신,252빠
597,  권규리,배로나 똥머리 나만예쁨?..
598,  황우찬,ㅎㅎ
599,  Shiwa Kichu,Just clicked cause I saw joodantae bleeding😂
600,  이다연,이번주에 펜트하우스 안해서 아쉽..ㅜㅜ
601,  주단태`St,다음주에 할거야 실망하지마
602,  김진기,155빠
603,  김하나,아씨 재밌긴 졸라 재밌네..
604,  오마드림고양이,단태의 요리보고 저리봐도는 수련씨가 잠시 빌리겠습니다...
605,  Sherra Key,RIP for the international viewers. Comment- korean Sub - korean Drama - korean RIP 😔🙄
606,  로제레타,로나 원래 예뻤지만 더 예뻐짐..미모 머선129..
607,  경로당홍삼캔디도둑,썸넬 그녀들의 복수ㅋ 인줄
608,  정민택,7월23일 /펜트하우스시즌3도쿄올림픽 때문에 결방합니다 ㅠㅠ
609,  엘리 Ally,이럴꺼면 차라리 '닥쳐 모음집'을 만드는게.. 나을거 같..
610,  크림,???: 천서진 천서진 천서진!!!!!???: 닥쳐 닥쳐 닥쳐!!!
611,  김예지,단태 이번에 조금 불쌍했음 그  엄마랑 그리고 동생 죽은 자리에서 엄마….! 이거 너무 슬펐어ㅠㅠ
612,  구글리아,근데 과거회상때 철거하는사람 찐단태 아빠아님? 그래서 짭단태가 죽인건가...
613,  도오겸,"와 근데 김소연 배우님 진짜 모태여신,,,,,,,,예쁘다"
614,  김이름,배로나 영춘권..
615,  김희주,0:53 나만 노트북 놓고가는거보고 눈 개 똥그래짐 ?
616,  최서우,0:59초에치킨떠러짐
617,  옐르 YEL,근데 솔직히 주단태 어릴때 과거사를 보면 조금 불쌍하긴 함
618,  박선교,펜트하우스 3  8회  금요일에않해서   슬퍼요
619,  Buger Cheese,근데 심수련 음주운전 했네 ㅋㅋㅋㅋ
620,  moonyc2004,로나가 일부러 천서진 물 먹였네요 ㅋㅋ
621,  주연,맞는연기고생하셨어요배우님 ^^...... 어우
622,  젤리,어릴적 주단태:불쌍하기만함 지금 주단태:악랄함…트라우마라도 그렇게까지는..
623,  웅고구마,ㅂ로나 똥머리 잘어울려ㅜ저 컷 개이쁨
624,  유뀨우웅,볼때마다 느끼는데 유제니랑 로나 왜 붙인건지 이해안감 그래봤자 유제니도 로나괴롭혔던애인건 변하지 않는데
625,  😸김하경😸,주단태 도 그동안힘드렀내.
626,  Britneyrblx Role plays,I hate joo Dan tae but his backstory is rlly sad
627,  JI윤,2
628,  정빈,솔직히 복수가 그렇게 시원하지는 않은데..
629,  엥쮸,15:13여기 주단태 너무 슬퍼.....저기만큼은 주단태가 가지면 좋겠다.....
630,  ¿Cómo estás,글쎄요 . 정정당당하게 가지는 것도 아니고 맨날 누구 돈으로 매수하거나 지 하고 싶은대로 해서 뺏는 사람인지라 ㅋㅋ
631,  감스토GAMST,구라안치고 가운데 이호창인줄 알고 들어옴 ㅋㅋㅋㅋ
632,  메롱메롱,역시 은별이는 로나를 못이기네요..........
633,  350명공약잇슴슬혜처럼ღ소통쉬어욤,5등이당 ㅠ
634,  꿍도사,이번주 결방이에요 ㅠ
635,  도라이몽,모교 무서워요
636,  L.B Ari,볼때마다 느끼는건데 진짜 저 세계관에 빈센조 넣으면 다 죽여버릴텐데...하이고...
637,  우우와아아앙,좀 소름돋았음   펜트하우스가 저렇게 세워진거라니 ㅋ  ㅋㅋㅋ ㅋ ㅋ
638,  키초코 쿠,심수련의 닥쳐사이다
639,  오은결,속다풀인ㄷㄱㆍ
640,  이구로,민혁이 바꼈네 +제니가 민혁이도 부른건가?
641,  지렁이,엄훠엄훠 나 주단탱한테 정들었나봐 오ㅐ 주단태가 불쌍해 보이냐 ㅜㅜ
642,  채소크로스,눈을 가렸는데도 피하네 ㅋㅋ
643,  호빵,이거 아직 안한거죠ㅠ
644,  꽃유자,???: 내여자가 흑화했습니다
645,  불만있니?,아 하필 주단태 심수련한테 맞는 거 화장실가서 못 봄 ㅠㅠ 아쉽다
646,  미니언즈녠슬,14빠
647,  김민수,똥머리 잘어울리는뎅??
648,  솜힘,주단태 어렸을때 보니깐 슬프다..불쌍해
649,  윤제준,심수련과 배로나는 이제 꽃길만 걷자🎆🎆🎆🎆🎆
650,  까불지마주단탱,아 ㅅㅂ 내가 천서진 좋아하는거라서 그런건진 모르겠는데 동방예의지국에서 어린애가 어른 팔 꺾는거 좋게는 안보임;;
651,  yesssssssssssssss,동방예의지국에서 아빠를 버리고 튄 천서진보단 나은듯
652,  까불지마주단탱, @yesssssssssssssss  독립시행을 구태여 갖다붙이는 기적의 논리법 ㅆㅅㅌㅊ
653,  서윤,1주일도 힘든데 2주일? 어케 기다려
654,  Jane Park,흑화하면서 아이라인을 그렸구낭
655,  서윤찡〰ლ,단탱이 기절한거 보니 변비 때매 존나 힘들었는데 존나 잘 나오넼ㅋ
656,  정다영,주단태 과거를 보니까 뭔가 안쓰럽다..
657,  moonyc2004,배로나가 흑화하니 엄청 무섭네요 천서진이 꼼짝. 못하네요.
658,  예솔TV,민혁이 많이 바꼈다ㅠ
659,  교탄소년,심수련이 우리엄마였으면 계속맞고있겠습니다
660,  예링콩콩,안돼 주둘리 죽지마ㅠㅠ 너가없으면 펜트하우스가 허전하단말이야^^
661,  찹쌀떡 🍡,심수련:로나야우리는천서진주단태른복수할거야배로나:녜~꼭복수해요ㅛ
662,  최재현,"심수련, 이쟈 입덕영상"
663,  김말랑,그동안 수고했어 로건 너무 섹시하가
664,  민초is뭔들.,14:52 여기 준기로 들린사람 저뿐인가 아니 단태로 들리기도 하고...아무튼 어찌보면 여기 너무 슬픈장면인데 왜 아무도 언급이 없는지 ㅜㅜㅠ
665,  강기건,준기라고 함
666,  YJ,갠적으로 천서진 팔잡아채면서 뼈소리난거 최애장면
667,  깡총,주단에 조금 불쌍
668,  신제영,드라마가.....완전 SF네
669,  꼬마,멋져-☆ 심수련 !
670,  ❀세아❀,나쁜놈인데 불쌍해
671,  람귝구,심수련 존나 멋있다
672,  U I,솔직히 단태도 어릴 때 불쌍했는데 좀 심수련 두들겨 패는 장면도 ㅋㅋ
673,  애국심슨,왜 볼때마다 스카이캐슬 예서가 보이냐
674,  스위치,로나가 심수련한테 싸움 배웠느 ㅋㅋ
675,  이성은,오윤희 대신 복수해주시네요
676,  아조나S,근데 배로나는 어떻게 클라크가 거기 있는줄 알고 갔었던 걸까...
677,  디아,액션신 보는데 심수련 존멋
678,  나이라,마지막 러시안룰렛 뺨치는 죽음의 게임
679,  Jerry Ahn,근데 굳이... 주단태한테 저런 서사 주는 것이... 읭스럽네
680,  서승우,근데 ㅈ펜하에 주단태가 죽으면 재미없음
681,  레몬베리,수련이 말이 맞아....죽인거 인정좀해라 주단태 오윤희 차로 해서 죽일려고 했잖아
682,  gohyun,아이 백준기는 불쌍하지만 미스터백은 그만 사셔도될듯
683,  yuuu,이거가지고 되냐
684,  나이라,배로나:저 이제 어린애 아니에요심수련:닥쳐!타이밍이......
685,  E-217,오윤희 또 살아 돌아 오나요?
686,  파칭할랑앟ᄋ,진찌 여기서 로나 똥머리한거 개이뻣다
687,  이하영,이러고 복수했는데 오윤희가 주단태랑 친동생인거면...?
688,  신아영,주단탱 맞는거 보고 6화부터 6주동안 쌓인 분노 날라갔다
689,  마크개초보,심수련 차 피하는 단태 내가 피구할때 공 피하는 거랑 비슷하네
690,  천서진,배로나 나의 팔을 꺽어?으..내가 내손으로 못죽여 불쌍해!
691,  Free Style Aviation :Flightsim&GTA5,주서방파 두목 이제 심수련에게도 밀리누?
692,  987 123,단태는감옥에서 그렇게운동하더니
693,  다훈임,15.28초 어디로 피해야하노
694,  루비랑포리,주단태 평생 고통받으며 살기바래
695,  Eugene Choi,.
696,  최인선,헉
697,  사람,선역..만이기는건 이제질린다....
698,  90 Kim,요즘같은 고구마 시기에 사이다같은 장면
699,  삐리빠라뽀,쭈굴단탱 기엽네..
700,  김갑성,배로나3종세트배로나메로나스크류로나
701,  잉잉,이지아 최준머리했네
702,  박태욱,주단태도이유가있다고!
703,  카톡보고,메로나와삼수련(?)
704,  파이어톡타_FIRE_TOKTA,배로나VS천서진심수련VS주둘리
705,  이정,사이다..겁나 좋다...!!!
706,  윤지예,심수련이 왜저리 싸움을 잘할까요?  선수급인데요?
707,  1304김서연,주단태 어릴때는 넘 불쌍하노..
708,  단,민혀가 사랑해
709,  구독안하면주단태,짭단태 ㅈㄴ 잘 피하네
710,  지아니,민혁이는 갑자기 왜 로나한테.....?
711,  무민,오
712,  김지유,주단태 불상한 뜻
713,  Low lll,민혁아 치킨이 먹고싶어?
714,  시엘 🥑[잉특],근데 민혁이 뭐지? 로나랑 제니랑 같이 있네..?
715,  혜진,록련 복수극에 이어서 로나수련 복수극이라니....
716,  빨상아리🍈,복수
717,  군침이 싹 도노 예지,이민혁이 배로나 편 드는거임?
718,  새싹랜드,민혁이  뭐임??  언제부터  로나편이였음??
719,  린예린song Country,아니 왜 다들 생각안해요??주단테가   엄마.~유니야이랬잖아요 주단테랑오윤희랑남매?
720,  Mush_영지_room,학생으로 쭉 봤더니 제니가 술 먹는거보고 놀랬네
721,  KIM BANEN,هذي اي حلقه ومن اي جزء ؟؟؟
722,  재욱 오,주단태 판사앞에 있으면 사.형.각인데 ㅠ
723,  이서후,"로건리, 오윤희"
724,  맹구,2바
725,  💛또리💛,🍾사이다
726,  용두등학교임서현,김소연  이쁘다 너무
727,  유키,나만 조금 단태 불쌍했음?ㅋ
728,  Айдолы🙈,"LANA (라나) ""Flying"" in the sky"" M/V"
729,  Айдолы🙈,"LANA (라나) ""Flying"" in the sky"" M/V"
730,  Айдолы🙈,"LANA (라나) ""Flying"" in the sky"" M/V"
731,  Айдолы🙈,"LANA (라나) ""Flying"" in the sky"" M/V"
732,  김민재,심수련이 법을 못 믿어서 복수를 직접한다고 했는데 짭단태도 같은 맥락이였을 거 같네요..결론: 복수는 복수를 낳는다
733,  지웡쒜[JIWON],복복낳
734,  ᄒᄒ,14:58 옆에 쓰러져있는 동생이 오유니였누
735,  이윤주,ㄴㄴ 백준희임
736,  ᄒᄒ," @이윤주  백준희는 또 누구에요? 맨날 이런거만 조금 봐서 뭐가 뭔지…,"
737,  이윤주, @ᄒᄒ   백준기(짭단태) 여동생 이름이 백준희래요
738,  ᄒᄒ, @이윤주  아 감사해요ㅛ!!
739,  이희경,단테 미화시키네
740,  애플이,베로나 하고 심수련 좀 별로인 듯
741,  터진물만두,설명란 수정좀요 이지아와 이지아의 복수영상이라니요
742,  띠루링,주단태 눈은가렸는데 더럽게 잘 피해  아우씨
743,  샛별이,단태는 죽이면 안된다
744,  시연,수련씨 앞머리 까니까 더 이뻐지셨어
745,  쿠루룽룽,오윤희랑 주단테 남매인게 삽신기
746,  fountain82,"The return of the iron ladies... I want to see Bae Ro Na become the resident performer.I can understand the reasons why Joo Dan Tae and Cheon Seo Jin became the bad guy. But the methods of revenge were all wrong, as compared to Shim Su Ryeon and Bae Ro Na.철녀들의 귀환... 배로나가 상주하는 모습 보고싶다.주단태와 천서진이 나쁜놈이 된 이유를 알겠다.  하지만 심수련이나 배로나에 비하면 복수 방식은 모두 틀렸다."
747,  AA K,나만 민혁이랑 제니 로나 같이 있는거 불편한가...
748,  페리도트,"로나가 석경, 은별, 혜인과 있는 것보다 더 나아보여"
749,  재준P,패드립맛집
750,  dumbo,왜그렇게 예민해 이 대사안나오네??
751,  야애애애오오오오옹옹,14:44 나만 짭단태가 엄마 윤희야 라고 부르는것 같냐..?찐이면 오윤희랑 짭단태 남매인거임..?
752,  너구리,어.. 그렇게는 안 들려요
753,  star,아니 근데 저 뭐 놓쳤어요? 왜 갑자기 민혁이 착해짐
754,  이윤주,그거 방송에도 자세히 나오진않았을걸요...아마 진심으로 사과하고 친해진거나 정신차린듯
755,  송우기,걸작 떡볶이 맛있겠다
756,  펜트하우스 청아 트로피 진심녀,"저때 수련심이 처음으로 짭단탱 때릴 때 일주일 스트레스 훠이 훠이 날아 갔다, 진짜 속이 다 후련함 저 장면 만큼은 심수련이 아니라 심후련이었음. 진짜 내 일주일 스트레스, 고구마 답답이 다 날라감. 한 동안 뇌절 거치고 고구마에 발암이라 속 배스꺼웠는데 저 장면 만큼은 일년치 코딱지 후펴 팔 정도로 전나 시원했다"
757,  라이니 소민TV,은별 성학 잘하네
758,  KOREA,7:27 많고 많은 땅중에 내가 제일 잘났지 이래도 안넘어 올래?
759,  맨맨,로나 수련씨에게 운동좀 배운듯
760,  Ra chel,아샹 왜 주단태가 불쌍하냐
761,  decay,김구선생 숙청목록 1위 1급 매국노 후손 이지아
762,  주단태`St,김순흥을 쳐야죠 김순흥이 이지아(김지아) 친 할아버지였음
763,  decay, @주단태`St  국민들 혈 빨아 쌓은 부로 호의호식한게 이지아입니다만?마이크로닷이 왜 욕먹은 건지 모르시네
764,  최지혜,"시즌 2때 미국에 그냥 있지. 저 목소리면 미국에서 휼륭한 성악가가 되었을텐데. 미국에 있었으면 머리와 어깨를 트로피로 공격당하지 않았을테고, 친아빠가 자기 반주쌤 배수한 걸 두 눈으로 목격하지 않았을테고, 엄마의 죽음을 목격하지 않았을텐데."
765,  페리도트,엄마가 혜인이 땅 안 가져갔어도 죽지는 않았음. 물론 로건이 대신 전달해주긴 했지만
766,  오민지,그래서 동생이 윤희임 준희임
767,  smilelucky00,준희
768,  박지은,진짜 주단태 그냥 죽어스면 좋게다고했는데..... 과거 보니깐 심수련이 주단태 한태 하는짓이 짜증남
769,  정해찬,1빠
770,  미니언즈녠슬,님 1빠 아님 ㅋ
771,  350명공약잇슴슬혜처럼ღ소통쉬어욤,추카해오 ㅠㅠ
772,  Yoongs Exe,it's always the ones that got fucked up from young age and those who have money that have greed and revenge influence them to be such villains. haizzz
773,  김채우,근데 단태 사람 여러명 죽인 거 같은데 1명 만 죽임
774,  강기건,ㄴㄴ 일단 내가 기억하는 거만 해도 2명임
775,  Silvia Rismawanti,"Aku pengen nonton drakor ini, semoga saja episodenya full semuanya di YouTube 🙏😔"
776,  be happy,"bisa nonton diviu mba, kalo ga ditrans tv jg ada cm saya ga tau jadwalnya"
777,  Silvia Rismawanti," @be happy  ok, makasih infonya 🙏"
778,  예윤 yeyoon,로나 갑자기 싫어졌어…
779,  푼순이,왜요?
780,  예윤 yeyoon, @푼순이  계획한 일을 망가뜨렸잖아용
781,  푼순이, @예윤 yeyoon  조작질 망가뜨린게 왜 싫어요?
782,  예윤 yeyoon, @푼순이  표정이 너무 재수 없어서용 (연기를 너무 잘하셔서)
783,  김지아,나 천서진 센터장 을 천서진 쌤 사장 이라고 들음ㅋㅋ 나만그래요???
784,  좀뱅이,설마... 어머니는 죽었지만... 심수련이 주단태동생이라는 스토리는 안하겠지..?
785,  이윤주,뭔소리임..? 동생도 죽었는데
786,  펜 트 하 우 스 진 심 녀,민혁이랑 로나 사귀는 것도 나쁘지 않은듯
787,  달빛베,나쁜듯
788,  Dark sailor,말도안돼ㅋㅋㅋㅋㅋ
789,  이민재,배로나&심수련 오윤희의 복수하기 시작했나봐
790,  오미나,"선녀들-배로나 심수련님 복수 화이팅! 승리 할 거라 믿는당🦋 악마들-주단태, 천서진, 하은별 제거 서사 ! 사이다 복수 만세💚"
791,  연빈프,사이다 진짜 잘하네
792,  Ryan Noy,English Subtitle Pleases
793,  맛춤법,왥굵읽듥읅 몱앍앍듥겕짉? ㅋㅋㅋ
794,  Naiya J,go on dramacool
795,  mazin Muhammed,Does anyoneknow what is the name of bgm played at 13:45 ?
796,  펜트하우스 청아 트로피 진심녀,"아니 어무이가 돈 벌어서 열심히 살아야 된다 이랬지, 사람 다 죽이고, 죄 다 뒤집어 씌우고, 출생의 비밀 만들고, 불륜 저지르고, 죄는 다 했으면서 뻔뻔하게 우기고, 남의 신분 뺏어서 돈 벌고, 지 아들, 딸 학대하고, 입시비리 하고, 뒷돈 줘서 조작하고, 지 비서 처 때리랬냐? 천수지구 그렇게 가지고 싶었으면 남의 신분으로 살아서 돈 벌지 말고 떳떳하게 어무이 말대로 정직하게 돈 벌어서 성공해서 천수지구 가지는 인생 살지, 남의 걸 뺏어서 사는 인생이 뭐가 재밌냐 차피 진실은 다 밝혀질 건데.."
797,  김영재,ㄱ
798,  WJ,잼민이들은 심수련을 왤케 좋아함?
799,  권소율,싫어할이유는?
800,  이윤주,잼민이들은 주석경을 좋아하던데 뭔솔
801,  WJ, @권소율  발연기
802,  이윤주, @WJ   잘하는데 뭔 발연기?;;
803,  Erlina MGL,Penthouse my favourite kdaram😅😘
804,  편순이지민,근데 심수련 아빠 회사에서 부모랑 동생 죽였다는 건가?
805,  서린Seorin,심회장님은 모르게해라고 하는거 봐서 심수련아빠가 직접한거 같지는 않고 주단태 오해일수도있을거같아요
806,  편순이지민, @서린Seorin  아 네네 회사에서
807,  어묵을먹고싶은김두한,진짜 주단태 아빠가 가짜 주단태 부모랑 동생을 죽인거일거에요
808,  Julia,someone explain to me what's happening 😭
809,  H,내가 하은별이었으면 이미 정신병 걸려서 뒤졌거나신경증 생겨서 뒤졌을 듯 아니면 그냥 내 의지대로혀 깨물고 뒤졌거나... 천서진 같은 사람 밑에서 자라고 세뇌 당하고 있는데 아직까지 정신병 안 걸린하은별이 대단할 뿐임...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ유일하게 원래 본인 마음을 꿰뚫고 있었던 하윤철마저 이혼하고 완전히 곁에 없어져버리고 엄마는 하은별을 끝까지 살리려고 했던 오윤희를 죽여버리고 죽여버린 후에서도 세뇌 시키려고 하고... 그걸 또 세뇌 당하는 하은별... 이런데도 정신병이 안걸리는 거 보면 멘탈이 얼마나 좋은 거임???이걸 다행이라고 해야 하나...
810,  이윤주,근데 이미 정신병 있는거아님..? 약발에 의존하고 있잖음
811,  H, @이윤주  물어본 건 그것도 있지만 내가 궁금해 하는 건 하은별이 지금까지 바선생 마냥 악착같이 버티고 있는 게 대단하다는 거임
812,  이윤주, @H   아하 그건 ㅇㅈ
813,  쿠키,주단태 악마 천서진 악마 하은별 악마 완전 악마 집이네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
814,  쿠키,주단태 꼴 좋다 -크크크크크크크킄크킄
815,  『jade Livoni』,주단태 과거 ㄹㅇ불쌍함
816,  『jade Livoni』,더 ㄹㅈㄷ인게 심수련 주단태 차로 치려는거 개멋있다..
817,  김나경,12:14  도예건설 대표가 엄청 이뿌다는 이규진이 말 맞았지~ 슈퍼울트라 짱짱 이쁘네~
818,  사탕맛뉴비,죄를지은사람들:천서진 주단태(백준기) 이규진 하윤철 강마리 고상아 죄를짓지않은사람들(개과천선) 강마리 제니 민혁이 ?
819,  페리도트,"강마리가 둘이네?진분홍이 죄를 지은 사람들 아님?찐단태도 있으며 주석경, 하은별도?"
820,  사탕맛뉴비, @페리도트  강마리는 죄를 지어서 깜방에 들어갔다가 다시 나와서 개과천선을 했잖아요
821,  아이돌 가은,주단테 뒈지는거보고 개시원함
822,  강기건,아직 안 죽었는데
823,  이일랑,아니 얘들 고딩 아님? 치맥을 먹네
824,  4 65,졸업하고 성인됨 배우분들도 성인이심
825,  이일랑, @4 65  아 네 감사합니다
826,  토끼석경,밀어버려 하는 아저씨 누구 임
827,  이윤주,찐단태 아빠
828,  토끼석경, @이윤주  헉..
829,  井上たける,すこ
830,  임정,아역이 연기를 너무 몬하노
831,  Pratima Pun,Can anyone translate please
832,  어묵을먹고싶은김두한,14:18 제일 나쁜놈
833,  ひろし,심수련아빠가 밀어버리라고 저사람한테 시킴
834,  어묵을먹고싶은김두한, @ひろし  근데 밀어버리라고만 했지 죽이라곤 한적없고 알리지말라한거보면 사람까지 통째로 죽일거라곤 생각안한듯
835,  Nadia Chouay,Sottotitoli in italiano o inglese?😅
836,  김정훈,신성우 역시 꽃미남
837,  Maria Candelario,I want to know what they are saying . Just add subs -_-
838,  oh sehun,Can anyone translate me?
839,  고딩 생활,I love you
840,  소망,진짜 짭단탱탱볼이 (드라마상)죽으면좋겠어도 복수하고죽으면좋겠닼ㅋㅋㅋㅋ 예로 9화에죽었다? 10화예고 。。。그동안 드라마를시청해주셔서감사합나다 할것같앙 ㅠ
841,  유니요,6:29 wow
842,  애교쟁이나영이,힝....단태오빠 등판 다 까지고 아프겠다 저 심수련 저거.....죽을라고..여기서 멋있어 석훈이가 아빠 구하는거~~♥♥짱이야~~
843,  Surbhi Singh,"So, mine is the first English comment here ?? Plz anyone can provide Eng subs 🙏"
844,  msj,9빠
845,  피터팬,심수련은 싸움을 너무 못해요.
846,  Dhiva Nur Isnaeni,BAE RO NA
847,  Lee Kurdo,YesI'm that English comment🤣🤣
848,  박우진,high f
